XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.97319336,40.59312964,8999,1001,3,Brooklyn,038600,30386001001,1771.167387,181755.889923,360470386001001
-73.92680531,40.69155543,9000,1001,3,Brooklyn,038700,30387001001,1692.851603,142722.457403,360470387001001
-73.96755552,40.59386853,9001,1001,3,Brooklyn,038800,30388001001,1763.322786,160373.088653,360470388001001
-73.93742660,40.70051254,9002,1001,3,Brooklyn,038900,30389001001,2958.427423,288128.359294,360470389001001
-73.96394874,40.59303253,9003,1001,3,Brooklyn,039000,30390001001,1400.635467,113732.652861,360470390001001
-73.93604411,40.70182510,9004,1001,3,Brooklyn,039100,30391001001,1411.382249,107985.922163,360470391001001
-73.96236947,40.59710462,9005,1001,3,Brooklyn,039200,30392001001,2079.927000,203459.902935,360470392001001
-73.93087146,40.69719175,9006,1001,3,Brooklyn,039300,30393001001,1463.904697,92475.078890,360470393001001
-73.96278248,40.59928928,9007,1001,3,Brooklyn,039400,30394001001,2181.830573,215880.855916,360470394001001
-73.92359222,40.69331821,9008,1001,3,Brooklyn,039500,30395001001,1387.303589,112928.859627,360470395001001
-73.96938106,40.59856387,9009,1001,3,Brooklyn,039600,30396001001,2178.851705,215493.514251,360470396001001
-73.91647511,40.68743795,9010,1001,3,Brooklyn,039700,30397001001,1825.255440,170048.609154,360470397001001
-73.97365785,40.59675400,9011,1001,3,Brooklyn,039800,30398001001,737.565504,31130.912916,360470398001001
-73.91504803,40.68889339,9012,1001,3,Brooklyn,039900,30399001001,1861.601612,174471.728288,360470399001001
-73.97349829,40.59810796,9013,1001,3,Brooklyn,040000,30400001001,2186.966320,196890.811979,360470400001001
-73.91053941,40.68632851,9014,1001,3,Brooklyn,040100,30401001001,1861.459524,174355.532288,360470401001001
-73.98196286,40.59717397,9015,1001,3,Brooklyn,040200,30402001001,2181.587316,216092.300146,360470402001001
